"client_id","card_brand","card_type","current_age","retirement_age","remaining_working_period","birth_year","birth_month","gender","address","per_capita_income","credit_score"
24,Mastercard,Debit,48,64,16,1971,November,Female,"55378 Burns Avenue",18906,708
25,Mastercard,Credit,22,64,42,1997,March,Female,"814 Washington Street",24122,630
26,Amex,Credit,49,68,19,1970,December,Female,"9639 Third Boulevard",20142,685
27,Mastercard,Credit,78,63,-15,1941,August,Female,"3553 Mountain View Drive",22304,613
28,Mastercard,Debit,39,65,26,1980,April,Female,"871 12th Lane",26618,789
29,Visa,Credit,68,60,-8,1951,August,Female,"318 Spruce Boulevard",18682,665
30,Mastercard,Debit,23,59,36,1996,August,Female,"2478 El Camino Avenue",19119,577
31,Mastercard,Debit,51,65,14,1968,June,Female,"413 East Boulevard",22348,712
32,Mastercard,Credit,82,67,-15,1937,September,Female,"7336 First Avenue",23074,695
33,Mastercard,Debit,77,71,-6,1942,June,Female,"6335 Rose Lane",18239,596
34,Mastercard,Debit,41,55,14,1978,August,Male,"7467 Spruce Drive",25431,737
35,Mastercard,Debit,20,64,44,1999,June,Male,"8460 Oak Lane",23785,773
36,Visa,Debit,31,63,32,1988,June,Male,"8486 Catherine Street",24640,722
37,Discover,Credit,41,60,19,1978,July,Female,"533 Sussex Drive",17013,683
38,Mastercard,Debit,45,64,19,1974,December,Female,"582 Birch Boulevard",19621,621
39,Visa,Debit,54,67,13,1965,May,Female,"984 Eighth Avenue",30281,583
40,Amex,Credit,71,74,3,1948,June,Male,"2786 Forest Lane",14342,726
41,Mastercard,Debit (Prepaid),38,70,32,1981,March,Male,"2750 Rose Boulevard",13332,637
42,Mastercard,Debit,78,66,-12,1941,November,Female,"3863 Pine Street",12672,684
43,Mastercard,Debit,26,66,40,1993,August,Female,"5594 12th Drive",29972,721
44,Mastercard,Debit,85,67,-18,1934,December,Male,"8651 Seventh Street",16738,680
45,Mastercard,Debit (Prepaid),61,67,6,1959,January,Female,"9473 Mill Street",31281,654
46,Mastercard,Debit,62,66,4,1957,June,Male,"20 Littlewood Boulevard",26481,632
47,Mastercard,Debit,47,62,15,1972,September,Male,"523 Federal Drive",12475,712
48,Mastercard,Debit (Prepaid),69,63,-6,1950,April,Male,"5233 Valley Stream Street",20993,733
49,Mastercard,Debit,38,74,36,1981,June,Male,"190 Burns Avenue",18962,686
50,Mastercard,Debit,68,72,4,1951,July,Female,"267 Birch Boulevard",19243,702
51,Visa,Credit,29,67,38,1991,February,Female,"3260 Hillside Lane",25166,688
52,Visa,Debit,56,66,10,1963,April,Female,"13 Rose Boulevard",31288,730
53,Mastercard,Debit,49,68,19,1970,December,Female,"7406 Mill Avenue",19471,701
54,Mastercard,Debit,21,68,47,1998,April,Female,"7914 Essex Boulevard",21660,696
55,Mastercard,Credit,61,68,7,1958,March,Female,"3374 Littlewood Street",21869,717
56,Discover,Credit,22,73,51,1998,February,Female,"5762 River Lane",10539,682
57,Mastercard,Debit,28,66,38,1992,February,Female,"9706 Mountain View Street",21494,823
58,Mastercard,Debit,38,66,28,1981,April,Female,"6561 George Avenue",25756,706
59,Mastercard,Debit,85,69,-16,1934,August,Female,"726 Oak Avenue",16654,695
60,Mastercard,Debit,47,64,17,1972,August,Female,"467 Birch Avenue",16703,655
61,Visa,Credit,44,65,21,1976,February,Female,"4121 Mountain View Boulevard",45812,801
62,Visa,Debit,78,68,-10,1941,November,Female,"9911 Rose Street",15296,716
63,Amex,Credit,40,64,24,1979,December,Male,"390 Tenth Street",17370,660
64,Mastercard,Debit,39,68,29,1980,March,Female,"95 12th Avenue",25242,702
65,Mastercard,Debit,51,72,21,1968,October,Female,"4514 Elm Street",16928,645
66,Visa,Debit,20,71,51,1999,June,Female,"69 Norfolk Avenue",15361,721
67,Visa,Credit,23,65,42,1996,April,Female,"1 Sixth Boulevard",23366,732
68,Visa,Credit,42,70,28,1977,October,Male,"58 Birch Lane",20599,704
69,Mastercard,Credit,54,67,13,1965,October,Female,"3067 First Street",18794,748
70,Mastercard,Debit,20,64,44,2000,February,Male,"8997 Summit Avenue",31040,635
71,Mastercard,Debit (Prepaid),39,69,30,1980,May,Male,"164 Ocean View Street",16087,701
72,Mastercard,Credit,37,66,29,1982,December,Male,"550 Forest Street",20305,580
73,Visa,Credit,48,73,25,1971,December,Male,"2193 Sixth Avenue",26227,674
74,Mastercard,Debit,54,74,20,1965,May,Female,"1444 Plum Boulevard",20579,783
75,Mastercard,Credit,80,66,-14,1939,December,Female,"6328 Forest Street",18528,564
76,Visa,Debit,22,63,41,1997,August,Female,"3269 River Street",25313,649
77,Visa,Credit,99,67,-32,1920,October,Female,"596 Ninth Street",25336,709
78,Visa,Debit (Prepaid),37,63,26,1983,January,Male,"5320 Mountain View Street",12362,688
79,Mastercard,Debit,70,66,-4,1949,October,Female,"990 North Lane",20045,625
80,Visa,Debit,82,67,-15,1937,August,Female,"362 Martin Luther King Street",15090,498
81,Mastercard,Credit,66,68,2,1953,March,Female,"804 Sixth Boulevard",17440,723
82,Mastercard,Debit (Prepaid),22,68,46,1997,September,Female,"6054 Main Avenue",0,779
83,Visa,Credit,31,69,38,1988,May,Male,"766 Catherine Boulevard",29157,557
84,Visa,Debit,47,68,21,1972,September,Male,"23068 Park Street",12630,738
85,Mastercard,Debit,29,60,31,1990,April,Male,"8016 Norfolk Drive",16006,782
86,Visa,Debit,24,65,41,1995,June,Male,"7675 Main Boulevard",11384,799
87,Mastercard,Debit (Prepaid),58,71,13,1961,May,Male,"663 Second Boulevard",11844,802
88,Visa,Credit,22,68,46,1997,August,Male,"6614 Ninth Boulevard",16349,712
89,Mastercard,Debit,35,67,32,1984,June,Male,"7794 Ocean Street",14822,705
90,Visa,Debit,63,62,-1,1956,August,Male,"9 Mill Drive",19018,644
91,Visa,Credit,38,72,34,1981,October,Female,"89 Washington Boulevard",35630,739
92,Visa,Debit,76,68,-8,1943,October,Female,"2760 Forest Drive",21089,689
93,Amex,Credit,33,69,36,1986,August,Female,"850 Birch Avenue",14073,686
94,Visa,Debit,59,72,13,1961,January,Female,"704 Summit Drive",18029,593
95,Mastercard,Debit,25,67,42,1994,August,Female,"157 Eighth Street",43432,701
96,Mastercard,Credit,69,66,-3,1950,December,Female,"20 Oak Street",38948,685
97,Mastercard,Debit,69,60,-9,1950,March,Female,"93 Mill Drive",19596,765
98,Amex,Credit,80,67,-13,1939,April,Female,"7872 Oak Drive",15755,590
99,Visa,Debit,63,65,2,1956,November,Female,"891 El Camino Lane",26530,753
100,Mastercard,Debit,56,66,10,1963,September,Male,"3982 Ocean View Street",24005,813
101,Visa,Credit,18,62,44,2002,January,Female,"91 Essex Lane",15095,681
102,Visa,Debit,32,67,35,1987,July,Female,"2785 Elm Drive",16289,649
103,Mastercard,Debit,41,71,30,1978,March,Female,"8 Tenth Drive",17056,850
104,Mastercard,Debit,33,65,32,1986,November,Female,"2043 Mill Street",18334,713
105,Visa,Credit,54,68,14,1965,August,Male,"420 Oak Drive",18432,742
106,Mastercard,Debit,52,60,8,1967,October,Male,"146 Plum Avenue",14691,624
107,Mastercard,Debit (Prepaid),50,70,20,1970,January,Male,"1504 Lincoln Drive",13123,734
108,Visa,Debit,50,68,18,1969,November,Female,"373 Sussex Drive",18709,768
109,Mastercard,Debit,29,66,37,1990,August,Female,"933 Sussex Drive",19625,737
110,Amex,Credit,52,72,20,1967,October,Female,"31204 El Camino Lane",25594,737
111,Mastercard,Debit,25,65,40,1994,October,Female,"3124 Madison Drive",14717,738
112,Mastercard,Debit,54,66,12,1965,December,Female,"85 Lafayette Boulevard",17220,686
113,Amex,Credit,74,71,-3,1946,January,Female,"4 Plum Boulevard",26016,788
114,Visa,Debit,47,65,18,1972,December,Female,"112 Elm Avenue",16892,725
115,Mastercard,Debit,61,69,8,1958,July,Male,"386 11th Lane",49546,748
116,Mastercard,Debit (Prepaid),31,68,37,1988,August,Male,"168 Sussex Boulevard",32973,685
117,Mastercard,Debit (Prepaid),20,71,51,2000,January,Male,"58 Bayview Street",14824,595
118,Visa,Debit,56,68,12,1963,December,Female,"407 Seventh Lane",15471,753
119,Mastercard,Debit,44,67,23,1975,September,Female,"60 Little Creek Avenue",27761,624
120,Discover,Credit,50,71,21,1969,September,Female,"64 Mill Street",29924,781
121,Visa,Debit,34,66,32,1985,November,Female,"71858 Mountain View Street",22277,721
122,Visa,Credit,65,66,1,1954,March,Female,"6303 South Boulevard",19237,786
123,Mastercard,Debit,43,66,23,1976,September,Female,"5180 Burns Boulevard",17811,824
124,Visa,Debit,31,70,39,1988,August,Female,"9833 Forest Street",16829,680
125,Amex,Credit,64,70,6,1956,February,Female,"9505 Martin Luther King Avenue",13015,724
126,Mastercard,Debit,63,65,2,1956,October,Male,"5159 Wessex Avenue",13047,799
127,Visa,Debit,48,68,20,1971,July,Male,"671 Little Creek Street",15474,729
128,Mastercard,Debit,40,66,26,1979,April,Female,"6914 Wessex Avenue",15389,722
129,Visa,Debit (Prepaid),56,63,7,1963,June,Female,"6295 Summit Drive",22008,510
130,Mastercard,Debit (Prepaid),63,69,6,1956,September,Female,"6429 Fifth Avenue",39752,781
131,Mastercard,Debit,23,75,52,1996,October,Female,"5883 Sixth Street",18494,688
132,Visa,Debit,77,72,-5,1942,May,Female,"8407 Littlewood Street",13972,696
133,Mastercard,Debit,31,65,34,1988,October,Female,"5295 Pine Street",30747,698
134,Amex,Credit,43,67,24,1976,December,Male,"924 First Drive",24608,643
135,Mastercard,Debit,64,69,5,1955,June,Female,"327 Lafayette Boulevard",18680,691
136,Visa,Debit,18,66,48,2001,April,Female,"724 Essex Drive",31636,695
137,Amex,Credit,33,65,32,1986,July,Female,"3177 Oak Avenue",20142,644
138,Mastercard,Debit,43,68,25,1977,February,Female,"754 South Avenue",16071,641
139,Mastercard,Debit (Prepaid),73,65,-8,1947,January,Female,"835 Main Street",19652,687
140,Mastercard,Debit,37,72,35,1983,February,Female,"108 Washington Street",20657,739
141,Mastercard,Debit,70,66,-4,1949,July,Male,"744 Lafayette Street",17356,638
142,Visa,Debit,59,68,9,1960,November,Female,"723 Fourth Drive",25399,675
143,Mastercard,Debit (Prepaid),22,68,46,1997,June,Female,"5138 Park Drive",25689,771
144,Amex,Credit,44,67,23,1975,March,Female,"5380 12th Boulevard",15857,835
145,Mastercard,Credit,58,65,7,1962,January,Female,"645 Hillside Lane",12427,696
146,Visa,Debit,47,67,20,1972,July,Female,"45 Ocean Lane",33701,717
147,Discover,Credit,30,66,36,1989,April,Male,"4096 Sussex Avenue",27653,800
148,Mastercard,Debit,62,66,4,1957,August,Male,"7378 Park Lane",18972,663
149,Mastercard,Credit,24,54,30,1995,March,Female,"5 Hill Avenue",44747,594
150,Discover,Credit,51,73,22,1968,August,Female,"2897 West Street",35062,782
151,Mastercard,Credit,18,65,47,2002,February,Female,"303 Lexington Drive",27916,823
152,Visa,Debit (Prepaid),37,68,31,1982,March,Female,"49 Tenth Street",24196,773
153,Discover,Credit,76,71,-5,1943,August,Female,"172 Birch Street",21950,660
154,Visa,Debit,48,61,13,1971,June,Male,"8993 Madison Avenue",18376,666
155,Amex,Credit,86,69,-17,1933,November,Female,"235 Fourth Street",14383,688
156,Mastercard,Debit,36,67,31,1983,July,Female,"2062 Fourth Street",13739,691
157,Mastercard,Debit,47,65,18,1972,October,Male,"6232 Second Avenue",16109,785
158,Visa,Debit,31,72,41,1989,February,Female,"5065 Catherine Drive",20343,747
159,Mastercard,Debit,53,69,16,1966,July,Male,"274 Summit Street",13799,707
160,Visa,Debit,44,68,24,1975,October,Male,"1915 Catherine Boulevard",18622,796
161,Mastercard,Debit,31,70,39,1988,November,Male,"237 Hill Lane",11512,731
162,Mastercard,Debit,37,69,32,1983,January,Male,"9550 Jefferson Street",32423,771
163,Mastercard,Debit,37,73,36,1983,February,Male,"169 Oak Street",16237,829
164,Visa,Credit,76,67,-9,1943,August,Male,"772 Lexington Street",18287,658
165,Mastercard,Debit (Prepaid),34,65,31,1986,February,Male,"95266 Bayview Drive",52813,694
166,Visa,Debit,83,64,-19,1936,April,Female,"9915 Burns Lane",17634,665
167,Mastercard,Credit,26,72,46,1994,January,Female,"189 Washington Street",18657,743
168,Mastercard,Debit,51,56,5,1968,July,Female,"2920 11th Boulevard",15553,646
169,Visa,Debit,85,71,-14,1934,May,Male,"2 11th Avenue",14224,686
170,Visa,Debit,34,71,37,1985,September,Male,"79948 Sixth Avenue",18137,768
171,Mastercard,Debit (Prepaid),43,70,27,1976,May,Female,"5194 Grant Street",24314,694
172,Mastercard,Debit,47,66,19,1972,April,Female,"9020 North Street",22153,730
173,Mastercard,Debit,63,62,-1,1956,May,Female,"440 North Street",16665,668
174,Mastercard,Debit,23,69,46,1996,April,Female,"4822 Jefferson Avenue",21899,716
175,Visa,Debit (Prepaid),33,63,30,1986,June,Female,"8740 Lafayette Drive",26528,675
176,Visa,Debit,45,71,26,1974,December,Female,"627 Ninth Drive",25586,667
177,Mastercard,Debit,54,66,12,1965,December,Female,"294 Bayview Lane",28570,728
178,Mastercard,Debit,47,66,19,1972,July,Female,"27 Third Avenue",24057,727
179,Mastercard,Debit,33,67,34,1986,May,Female,"906 Little Creek Drive",19605,652
180,Mastercard,Credit,33,67,34,1986,July,Female,"0 Elm Street",13024,840
181,Amex,Credit,26,65,39,1994,January,Female,"118 12th Avenue",25025,602
182,Visa,Debit,49,70,21,1971,February,Female,"916 Birch Drive",25006,616
183,Mastercard,Credit,24,65,41,1995,December,Female,"84 Second Lane",18937,798
184,Visa,Debit,50,69,19,1969,April,Female,"8886 Little Creek Street",21348,797
185,Mastercard,Debit,47,67,20,1973,January,Female,"276 Fifth Boulevard",15175,779
186,Visa,Credit,61,69,8,1958,November,Female,"49 Bayview Lane",18897,705
187,Visa,Credit,35,72,37,1984,September,Female,"707 Elm Boulevard",17537,830
188,Visa,Debit (Prepaid),24,57,33,1995,June,Male,"9226 Tenth Boulevard",42884,845
189,Visa,Credit,42,70,28,1978,February,Male,"9566 Tenth Street",25584,730
190,Mastercard,Debit,40,67,27,1979,April,Male,"5468 Little Creek Drive",21801,711
191,Visa,Debit,28,65,37,1991,October,Male,"654 Elm Drive",19550,728
192,Visa,Debit,27,66,39,1992,June,Male,"888 Fifth Lane",27548,761
193,Mastercard,Debit (Prepaid),23,65,42,1996,July,Female,"4343 Mountain View Boulevard",18583,749
194,Visa,Credit,52,68,16,1968,February,Male,"531 Pine Avenue",15048,746
195,Mastercard,Debit,18,70,52,2002,February,Female,"5263 Little Creek Drive",31847,688
196,Visa,Credit,44,64,20,1975,May,Female,"518 Norfolk Avenue",17545,773
197,Visa,Debit,32,60,28,1987,May,Male,"1867 Bayview Street",15757,724
198,Amex,Credit,49,73,24,1970,March,Female,"732 Lincoln Drive",15447,702
199,Visa,Debit,67,67,0,1952,April,Female,"7927 Plum Lane",32580,720
200,Discover,Credit,57,65,8,1962,November,Female,"4940 Ocean View Drive",17918,701
201,Mastercard,Credit,61,65,4,1958,May,Male,"206 Pine Lane",17567,732
202,Visa,Credit,20,66,46,1999,July,Female,"75 Third Avenue",31920,850
203,Visa,Credit,58,67,9,1961,March,Female,"407 Park Lane",14864,776
204,Mastercard,Debit,31,67,36,1988,September,Female,"775 Lexington Boulevard",20968,656
205,Visa,Debit,38,68,30,1982,January,Male,"839 Essex Lane",19560,809
206,Mastercard,Credit,28,59,31,1992,February,Female,"4633 Sixth Avenue",18431,782
207,Visa,Credit,73,65,-8,1946,October,Female,"518 Main Street",16745,745
208,Mastercard,Debit,37,66,29,1982,July,Female,"6976 Ocean View Avenue",33226,804
209,Mastercard,Credit,61,67,6,1959,January,Female,"2111 Burns Street",14322,716
210,Discover,Credit,46,63,17,1973,August,Male,"7677 Little Creek Drive",12677,630
211,Mastercard,Debit,43,71,28,1976,May,Male,"441 River Street",14214,755
212,Visa,Debit,52,67,15,1968,February,Male,"142 First Drive",13799,797
213,Amex,Credit,37,68,31,1982,May,Female,"345 George Street",27057,629
214,Visa,Credit,30,62,32,1989,August,Male,"437 Madison Street",23446,652
215,Mastercard,Debit,18,65,47,2002,February,Male,"6638 Summit Lane",22223,716
216,Mastercard,Debit,60,66,6,1959,May,Female,"378 Fourth Boulevard",16273,687
217,Mastercard,Debit,42,65,23,1977,October,Male,"272 Burns Boulevard",15221,744
218,Mastercard,Debit,59,68,9,1960,March,Female,"5238 Park Street",16770,810
219,Discover,Credit,47,66,19,1973,February,Male,"4541 Hill Boulevard",11036,798
220,Amex,Credit,33,67,34,1986,November,Female,"3550 Sixth Boulevard",30335,722
221,Mastercard,Debit,63,65,2,1956,December,Female,"560 Eighth Boulevard",21669,850
222,Mastercard,Debit,48,70,22,1971,July,Female,"9243 Oak Street",45818,714
223,Visa,Debit (Prepaid),37,67,30,1982,October,Female,"3748 Mountain View Drive",28760,803
224,Visa,Debit,20,67,47,1999,November,Female,"5789 Ninth Drive",19682,798
225,Visa,Debit,32,68,36,1987,March,Male,"69080 Spruce Street",20055,688
226,Mastercard,Debit,30,68,38,1989,August,Male,"4262 Madison Drive",45596,724
227,Mastercard,Debit,48,66,18,1971,September,Male,"496 Hill Lane",40364,736
228,Visa,Credit,54,66,12,1966,January,Female,"2206 South Drive",15524,623
229,Mastercard,Credit,35,57,22,1984,June,Female,"47428 First Boulevard",29059,725
230,Amex,Credit,39,65,26,1980,October,Female,"675 Fifth Avenue",17412,693
231,Mastercard,Debit (Prepaid),55,67,12,1964,March,Female,"1442 Mill Avenue",17789,769
232,Mastercard,Debit,57,66,9,1962,May,Female,"186 First Drive",33919,786
233,Amex,Credit,37,64,27,1982,December,Female,"896 Rose Street",23278,716
234,Visa,Credit,42,73,31,1977,November,Female,"8027 Main Drive",18452,726
235,Visa,Debit,32,67,35,1987,December,Female,"7012 11th Lane",23874,721
236,Visa,Debit,36,65,29,1983,March,Female,"4137 Bayview Drive",79100,540
237,Visa,Credit,42,72,30,1977,August,Male,"331 Oak Lane",28733,563
238,Visa,Credit,22,62,40,1997,June,Male,"9261 Little Creek Lane",20400,675
239,Discover,Credit,26,68,42,1993,March,Male,"2519 Park Boulevard",20699,682
240,Mastercard,Debit,50,68,18,1970,February,Male,"280 Lake Avenue",17104,745
241,Mastercard,Debit,58,67,9,1961,April,Female,"6077 Sixth Avenue",15009,737
242,Visa,Debit,41,65,24,1978,June,Male,"6389 El Camino Drive",21365,850
243,Mastercard,Debit,20,63,43,1999,March,Male,"592 Hillside Drive",18714,666
244,Mastercard,Credit,40,62,22,1979,July,Female,"8100 Hill Avenue",13144,638
245,Amex,Credit,39,65,26,1980,July,Female,"3 Main Street",28826,528
246,Discover,Credit,50,70,20,1969,September,Female,"671 West Drive",40364,791
247,Mastercard,Credit,49,69,20,1970,July,Female,"704 East Drive",26772,761
248,Visa,Debit,80,67,-13,1939,December,Female,"80471 Eighth Street",13254,684
249,Mastercard,Credit,42,69,27,1977,September,Female,"6777 First Drive",14632,618
250,Visa,Credit,50,64,14,1970,February,Female,"61674 Elm Drive",17003,786
251,Mastercard,Debit,21,66,45,1998,August,Male,"72834 Grant Boulevard",20152,695
252,Mastercard,Credit,67,70,3,1953,January,Male,"127 Grant Street",17161,723
253,Visa,Credit,61,62,1,1959,January,Male,"4110 Lafayette Boulevard",21705,664
254,Mastercard,Credit,30,66,36,1989,May,Male,"323 Eighth Drive",33151,734
255,Visa,Debit,18,57,39,2001,August,Female,"8026 East Drive",21214,718
256,Visa,Credit,75,65,-10,1945,February,Male,"863 Park Drive",19485,714
257,Mastercard,Debit,52,65,13,1967,September,Male,"858 Martin Luther King Drive",15239,708
258,Mastercard,Debit,51,68,17,1968,March,Male,"572 Mountain View Lane",14528,694
259,Mastercard,Debit,71,65,-6,1948,May,Female,"391 South Street",22585,689
260,Mastercard,Debit,62,70,8,1958,February,Male,"142 Catherine Street",14275,699
261,Visa,Debit,41,66,25,1979,February,Male,"7061 Littlewood Street",28985,737
262,Visa,Debit,18,60,42,2002,February,Male,"878 Summit Avenue",16005,734
263,Visa,Credit,30,69,39,1989,November,Male,"8687 Ninth Drive",13006,663
264,Visa,Credit,49,67,18,1970,August,Male,"468 Park Lane",21728,696
265,Mastercard,Credit,44,70,26,1975,October,Female,"68 Rose Boulevard",22314,713
266,Mastercard,Debit,19,65,46,2000,March,Female,"39 Park Lane",13485,724
267,Mastercard,Debit,61,66,5,1958,March,Female,"7360 Lexington Drive",13602,765
268,Visa,Debit,20,62,42,1999,September,Female,"825 Norfolk Drive",29558,582
269,Mastercard,Debit (Prepaid),21,69,48,1998,May,Female,"537 Fourth Lane",19000,689
270,Mastercard,Debit (Prepaid),30,62,32,1989,August,Male,"71682 Catherine Street",30367,655
271,Mastercard,Debit,30,65,35,1989,July,Female,"352 Hill Lane",20649,685
272,Visa,Debit,30,67,37,1989,August,Female,"387 Plum Avenue",26193,767
273,Discover,Credit,42,72,30,1977,April,Female,"849 Norfolk Lane",18351,665
274,Visa,Debit,43,67,24,1976,April,Female,"4 North Street",23940,799
275,Visa,Credit,43,58,15,1977,February,Female,"973 River Street",37415,710
276,Visa,Debit,25,70,45,1995,January,Male,"9892 George Drive",10626,610
277,Mastercard,Debit,46,68,22,1974,February,Male,"2292 South Street",15568,799
278,Mastercard,Debit,59,66,7,1960,September,Male,"910 Eighth Drive",95039,686
279,Mastercard,Credit,25,64,39,1995,February,Female,"940 Plum Boulevard",34122,753
280,Visa,Credit,40,66,26,1979,October,Female,"3539 Lincoln Boulevard",21869,684
281,Discover,Credit,24,65,41,1996,February,Male,"4779 Lafayette Avenue",18907,684
282,Visa,Credit,42,66,24,1977,May,Male,"260 Spruce Avenue",12547,702
283,Mastercard,Credit,19,69,50,2000,November,Male,"74 Birch Avenue",15064,680
284,Mastercard,Debit,51,65,14,1968,April,Male,"822 Martin Luther King Drive",25005,754
285,Visa,Debit (Prepaid),62,69,7,1957,August,Male,"702 Elm Drive",16920,731
286,Mastercard,Debit,38,69,31,1981,October,Male,"4232 Grant Drive",18746,725
287,Mastercard,Debit,42,73,31,1977,August,Female,"152 El Camino Boulevard",21178,710
288,Visa,Credit,45,69,24,1974,May,Female,"9891 Valley Drive",10909,789
289,Visa,Credit,22,64,42,1997,December,Female,"109 El Camino Avenue",11219,685
290,Mastercard,Debit,27,66,39,1992,March,Female,"293 Wessex Street",49458,687
291,Amex,Credit,64,66,2,1956,January,Female,"682 Federal Lane",19818,793
292,Mastercard,Debit,23,65,42,1996,September,Female,"871 Second Street",20947,717
293,Mastercard,Debit,32,63,31,1987,August,Female,"58221 Main Drive",20640,661
294,Mastercard,Debit,36,59,23,1983,August,Male,"99 Mill Lane",21556,607
295,Mastercard,Debit,53,69,16,1966,November,Male,"914 Spruce Drive",14739,681
296,Mastercard,Credit,48,71,23,1971,March,Male,"9570 North Drive",37170,814
297,Mastercard,Debit (Prepaid),20,66,46,1999,September,Male,"354 Main Drive",13938,738
298,Visa,Debit,28,65,37,1991,May,Male,"437 Ocean View Drive",25031,686
299,Mastercard,Debit,40,61,21,1979,July,Male,"196 Plum Lane",13845,622
300,Mastercard,Debit,40,64,24,1979,December,Male,"69 Martin Luther King Street",37131,750
301,Visa,Credit,47,69,22,1972,November,Male,"6009 River Avenue",25654,679
302,Mastercard,Debit,27,67,40,1992,August,Female,"9354 Lafayette Street",18335,706
303,Mastercard,Debit,94,66,-28,1926,January,Male,"93 Lafayette Boulevard",27185,690
304,Visa,Debit,31,68,37,1988,August,Male,"6606 Sixth Drive",20255,685
305,Visa,Debit,51,65,14,1968,October,Male,"9070 Third Boulevard",14415,755
306,Mastercard,Debit,18,69,51,2002,January,Male,"9850 Birch Drive",34519,725
307,Mastercard,Debit,18,69,51,2001,August,Male,"2846 Lake Avenue",18082,680
308,Mastercard,Credit,44,65,21,1976,January,Male,"3675 Bayview Drive",15209,737
309,Mastercard,Debit,28,57,29,1991,August,Male,"2473 Lake Avenue",12321,819
310,Visa,Debit,26,61,35,1994,February,Male,"4840 Summit Lane",28660,666
311,Amex,Credit,46,68,22,1973,December,Female,"8070 Mill Lane",14470,752
312,Mastercard,Debit,18,68,50,2002,February,Female,"4949 South Avenue",23383,767
313,Mastercard,Debit,32,68,36,1987,June,Female,"9384 Ocean Avenue",16453,693
314,Mastercard,Credit,27,66,39,1992,June,Male,"1039 Bayview Drive",28410,557
315,Mastercard,Debit (Prepaid),54,69,15,1966,January,Male,"112 Burns Lane",20783,692
316,Visa,Credit,36,69,33,1983,August,Male,"995 Martin Luther King Street",19554,719
317,Visa,Debit,67,65,-2,1952,March,Female,"816 El Camino Drive",15436,715
318,Visa,Credit,62,67,5,1957,May,Male,"75540 Valley Street",18103,724
319,Visa,Credit,67,67,0,1952,December,Male,"388 Third Avenue",17683,628
320,Mastercard,Debit,34,75,41,1985,August,Male,"6444 Madison Drive",17480,625
321,Visa,Credit,52,67,15,1967,May,Male,"262 First Lane",19705,698
322,Mastercard,Credit,47,65,18,1972,October,Male,"708 George Street",13759,829
323,Mastercard,Credit,54,66,12,1965,July,Male,"782 Hill Lane",13093,683
324,Mastercard,Debit,21,68,47,1998,July,Female,"5995 Valley Stream Avenue",42850,792
325,Mastercard,Debit,45,57,12,1974,November,Male,"7044 Plum Street",19589,709
326,Visa,Debit,18,61,43,2001,March,Male,"644 Birch Avenue",30076,652
327,Mastercard,Credit,44,67,23,1975,July,Male,"7485 Seventh Street",18069,772
328,Mastercard,Debit,45,67,22,1974,March,Male,"4391 Lexington Lane",17817,700
329,Mastercard,Credit,70,65,-5,1949,March,Male,"6339 Lafayette Avenue",21191,701
330,Visa,Debit,36,71,35,1984,February,Male,"271 Sixth Drive",31595,711
