"id","card_brand","card_type","current_age","age_range","address","gender","credit_score","labels"
75,Mastercard,Debit (Prepaid),80,"71-80","6328 Forest Street",Female,564,Buruk
76,Mastercard,Debit,22,"21-30","3269 River Street",Female,649,Sedang
77,Mastercard,Debit (Prepaid),99,"91+","596 Ninth Street",Female,709,Cukup Baik
78,Mastercard,Debit,37,"31-40","5320 Mountain View Street",Male,688,Sedang
79,Visa,Credit,70,"61-70","990 North Lane",Female,625,Sedang
80,Visa,Debit (Prepaid),82,"81-90","362 Martin Luther King Street",Female,498,Tidak Baik
81,Visa,Credit,66,"61-70","804 Sixth Boulevard",Female,723,Cukup Baik
82,Visa,Debit,22,"21-30","6054 Main Avenue",Female,779,Cukup Baik
83,Visa,Debit,31,"31-40","766 Catherine Boulevard",Male,557,Buruk
84,Visa,Debit,47,"41-50","23068 Park Street",Male,738,Cukup Baik
85,Visa,Debit,29,"21-30","8016 Norfolk Drive",Male,782,Cukup Baik
86,Visa,Debit,24,"21-30","7675 Main Boulevard",Male,799,Cukup Baik
87,Visa,Debit,58,"51-60","663 Second Boulevard",Male,802,Cukup Baik
88,Amex,Credit,22,"21-30","6614 Ninth Boulevard",Male,712,Cukup Baik
89,Amex,Credit,35,"31-40","7794 Ocean Street",Male,705,Cukup Baik
90,Amex,Credit,63,"61-70","9 Mill Drive",Male,644,Sedang
91,Amex,Credit,38,"31-40","89 Washington Boulevard",Female,739,Cukup Baik
92,Amex,Credit,76,"71-80","2760 Forest Drive",Female,689,Sedang
93,Discover,Credit,33,"31-40","850 Birch Avenue",Female,686,Sedang
94,Mastercard,Debit,59,"51-60","704 Summit Drive",Female,593,Buruk
95,Mastercard,Debit (Prepaid),25,"21-30","157 Eighth Street",Female,701,Cukup Baik
96,Mastercard,Credit,69,"61-70","20 Oak Street",Female,685,Sedang
97,Mastercard,Debit,69,"61-70","93 Mill Drive",Female,765,Cukup Baik
98,Mastercard,Debit,80,"71-80","7872 Oak Drive",Female,590,Buruk
99,Mastercard,Debit,63,"61-70","891 El Camino Lane",Female,753,Cukup Baik
100,Mastercard,Debit,56,"51-60","3982 Ocean View Street",Male,813,Cukup Baik
101,Mastercard,Debit (Prepaid),18,"10-20","91 Essex Lane",Female,681,Sedang
102,Mastercard,Debit,32,"31-40","2785 Elm Drive",Female,649,Sedang
103,Mastercard,Debit,41,"41-50","8 Tenth Drive",Female,850,Cukup Baik
104,Mastercard,Debit,33,"31-40","2043 Mill Street",Female,713,Cukup Baik
105,Mastercard,Credit,54,"51-60","420 Oak Drive",Male,742,Cukup Baik
106,Mastercard,Credit,52,"51-60","146 Plum Avenue",Male,624,Sedang
107,Visa,Debit,50,"41-50","1504 Lincoln Drive",Male,734,Cukup Baik
108,Visa,Credit,50,"41-50","373 Sussex Drive",Female,768,Cukup Baik
109,Visa,Credit,29,"21-30","933 Sussex Drive",Female,737,Cukup Baik
110,Visa,Debit,52,"51-60","31204 El Camino Lane",Female,737,Cukup Baik
111,Visa,Debit,25,"21-30","3124 Madison Drive",Female,738,Cukup Baik
112,Visa,Debit,54,"51-60","85 Lafayette Boulevard",Female,686,Sedang
113,Visa,Debit,74,"71-80","4 Plum Boulevard",Female,788,Cukup Baik
114,Visa,Debit,47,"41-50","112 Elm Avenue",Female,725,Cukup Baik
115,Visa,Debit,61,"61-70","386 11th Lane",Male,748,Cukup Baik
116,Visa,Debit,31,"31-40","168 Sussex Boulevard",Male,685,Sedang
117,Visa,Debit,20,"10-20","58 Bayview Street",Male,595,Buruk
118,Visa,Credit,56,"51-60","407 Seventh Lane",Female,753,Cukup Baik
119,Visa,Debit,44,"41-50","60 Little Creek Avenue",Female,624,Sedang
120,Visa,Credit,50,"41-50","64 Mill Street",Female,781,Cukup Baik
121,Visa,Credit,34,"31-40","71858 Mountain View Street",Female,721,Cukup Baik
122,Amex,Credit,65,"61-70","6303 South Boulevard",Female,786,Cukup Baik
123,Amex,Credit,43,"41-50","5180 Burns Boulevard",Female,824,Cukup Baik
124,Amex,Credit,31,"31-40","9833 Forest Street",Female,680,Sedang
125,Amex,Credit,64,"61-70","9505 Martin Luther King Avenue",Female,724,Cukup Baik
126,Mastercard,Credit,63,"61-70","5159 Wessex Avenue",Male,799,Cukup Baik
127,Mastercard,Debit,48,"41-50","671 Little Creek Street",Male,729,Cukup Baik
128,Mastercard,Debit (Prepaid),40,"31-40","6914 Wessex Avenue",Female,722,Cukup Baik
129,Mastercard,Debit,56,"51-60","6295 Summit Drive",Female,510,Buruk
130,Mastercard,Debit,63,"61-70","6429 Fifth Avenue",Female,781,Cukup Baik
131,Mastercard,Debit,23,"21-30","5883 Sixth Street",Female,688,Sedang
132,Mastercard,Credit,77,"71-80","8407 Littlewood Street",Female,696,Sedang
133,Mastercard,Debit,31,"31-40","5295 Pine Street",Female,698,Sedang
134,Mastercard,Debit,43,"41-50","924 First Drive",Male,643,Sedang
135,Mastercard,Debit,64,"61-70","327 Lafayette Boulevard",Female,691,Sedang
136,Mastercard,Debit,18,"10-20","724 Essex Drive",Female,695,Sedang
137,Mastercard,Debit,33,"31-40","3177 Oak Avenue",Female,644,Sedang
138,Visa,Debit,43,"41-50","754 South Avenue",Female,641,Sedang
139,Visa,Credit,73,"71-80","835 Main Street",Female,687,Sedang
140,Visa,Debit,37,"31-40","108 Washington Street",Female,739,Cukup Baik
141,Visa,Debit,70,"61-70","744 Lafayette Street",Male,638,Sedang
142,Visa,Credit,59,"51-60","723 Fourth Drive",Female,675,Sedang
143,Visa,Credit,22,"21-30","5138 Park Drive",Female,771,Cukup Baik
144,Visa,Debit,44,"41-50","5380 12th Boulevard",Female,835,Cukup Baik
145,Visa,Debit,58,"51-60","645 Hillside Lane",Female,696,Sedang
146,Visa,Debit (Prepaid),47,"41-50","45 Ocean Lane",Female,717,Cukup Baik
147,Visa,Credit,30,"21-30","4096 Sussex Avenue",Male,800,Cukup Baik
148,Visa,Debit,62,"61-70","7378 Park Lane",Male,663,Sedang
149,Amex,Credit,24,"21-30","5 Hill Avenue",Female,594,Buruk
150,Amex,Credit,51,"51-60","2897 West Street",Female,782,Cukup Baik
151,Mastercard,Debit,18,"10-20","303 Lexington Drive",Female,823,Cukup Baik
152,Mastercard,Debit,37,"31-40","49 Tenth Street",Female,773,Cukup Baik
153,Mastercard,Debit,76,"71-80","172 Birch Street",Female,660,Sedang
154,Mastercard,Credit,48,"41-50","8993 Madison Avenue",Male,666,Sedang
155,Mastercard,Debit (Prepaid),86,"81-90","235 Fourth Street",Female,688,Sedang
156,Mastercard,Credit,36,"31-40","2062 Fourth Street",Female,691,Sedang
157,Mastercard,Debit,47,"41-50","6232 Second Avenue",Male,785,Cukup Baik
158,Mastercard,Debit,31,"31-40","5065 Catherine Drive",Female,747,Cukup Baik
159,Mastercard,Debit,53,"51-60","274 Summit Street",Male,707,Cukup Baik
160,Mastercard,Credit,44,"41-50","1915 Catherine Boulevard",Male,796,Cukup Baik
161,Mastercard,Credit,31,"31-40","237 Hill Lane",Male,731,Cukup Baik
162,Mastercard,Debit,37,"31-40","9550 Jefferson Street",Male,771,Cukup Baik
163,Mastercard,Credit,37,"31-40","169 Oak Street",Male,829,Cukup Baik
164,Mastercard,Credit,76,"71-80","772 Lexington Street",Male,658,Sedang
165,Mastercard,Debit (Prepaid),34,"31-40","95266 Bayview Drive",Male,694,Sedang
166,Mastercard,Debit,83,"81-90","9915 Burns Lane",Female,665,Sedang
167,Mastercard,Credit,26,"21-30","189 Washington Street",Female,743,Cukup Baik
168,Mastercard,Debit,51,"51-60","2920 11th Boulevard",Female,646,Sedang
169,Mastercard,Debit (Prepaid),85,"81-90","2 11th Avenue",Male,686,Sedang
170,Mastercard,Debit,34,"31-40","79948 Sixth Avenue",Male,768,Cukup Baik
171,Mastercard,Debit,43,"41-50","5194 Grant Street",Female,694,Sedang
172,Mastercard,Debit,47,"41-50","9020 North Street",Female,730,Cukup Baik
173,Visa,Credit,63,"61-70","440 North Street",Female,668,Sedang
174,Visa,Debit,23,"21-30","4822 Jefferson Avenue",Female,716,Cukup Baik
175,Visa,Credit,33,"31-40","8740 Lafayette Drive",Female,675,Sedang
176,Visa,Debit,45,"41-50","627 Ninth Drive",Female,667,Sedang
177,Visa,Credit,54,"51-60","294 Bayview Lane",Female,728,Cukup Baik
178,Visa,Debit,47,"41-50","27 Third Avenue",Female,727,Cukup Baik
179,Visa,Credit,33,"31-40","906 Little Creek Drive",Female,652,Sedang
180,Visa,Credit,33,"31-40","0 Elm Street",Female,840,Cukup Baik
181,Visa,Debit,26,"21-30","118 12th Avenue",Female,602,Sedang
182,Visa,Debit,49,"41-50","916 Birch Drive",Female,616,Sedang
183,Visa,Debit,24,"21-30","84 Second Lane",Female,798,Cukup Baik
184,Visa,Debit,50,"41-50","8886 Little Creek Street",Female,797,Cukup Baik
185,Visa,Credit,47,"41-50","276 Fifth Boulevard",Female,779,Cukup Baik
186,Visa,Credit,61,"61-70","49 Bayview Lane",Female,705,Cukup Baik
187,Visa,Debit,35,"31-40","707 Elm Boulevard",Female,830,Cukup Baik
188,Visa,Credit,24,"21-30","9226 Tenth Boulevard",Male,845,Cukup Baik
189,Amex,Credit,42,"41-50","9566 Tenth Street",Male,730,Cukup Baik
190,Amex,Credit,40,"31-40","5468 Little Creek Drive",Male,711,Cukup Baik
191,Amex,Credit,28,"21-30","654 Elm Drive",Male,728,Cukup Baik
192,Discover,Credit,27,"21-30","888 Fifth Lane",Male,761,Cukup Baik
193,Discover,Credit,23,"21-30","4343 Mountain View Boulevard",Female,749,Cukup Baik
194,Mastercard,Credit,52,"51-60","531 Pine Avenue",Male,746,Cukup Baik
195,Mastercard,Debit (Prepaid),18,"10-20","5263 Little Creek Drive",Female,688,Sedang
196,Mastercard,Credit,44,"41-50","518 Norfolk Avenue",Female,773,Cukup Baik
197,Mastercard,Debit,32,"31-40","1867 Bayview Street",Male,724,Cukup Baik
198,Mastercard,Debit,49,"41-50","732 Lincoln Drive",Female,702,Cukup Baik
199,Mastercard,Debit,67,"61-70","7927 Plum Lane",Female,720,Cukup Baik
200,Mastercard,Debit (Prepaid),57,"51-60","4940 Ocean View Drive",Female,701,Cukup Baik
201,Mastercard,Debit,61,"61-70","206 Pine Lane",Male,732,Cukup Baik
202,Mastercard,Debit,20,"10-20","75 Third Avenue",Female,850,Cukup Baik
203,Mastercard,Debit,58,"51-60","407 Park Lane",Female,776,Cukup Baik
204,Mastercard,Debit,31,"31-40","775 Lexington Boulevard",Female,656,Sedang
205,Mastercard,Debit,38,"31-40","839 Essex Lane",Male,809,Cukup Baik
206,Mastercard,Debit (Prepaid),28,"21-30","4633 Sixth Avenue",Female,782,Cukup Baik
207,Visa,Credit,73,"71-80","518 Main Street",Female,745,Cukup Baik
208,Visa,Debit,37,"31-40","6976 Ocean View Avenue",Female,804,Cukup Baik
209,Visa,Credit,61,"61-70","2111 Burns Street",Female,716,Cukup Baik
210,Visa,Debit,46,"41-50","7677 Little Creek Drive",Male,630,Sedang
211,Visa,Debit,43,"41-50","441 River Street",Male,755,Cukup Baik
212,Visa,Credit,52,"51-60","142 First Drive",Male,797,Cukup Baik
213,Visa,Credit,37,"31-40","345 George Street",Female,629,Sedang
214,Visa,Debit,30,"21-30","437 Madison Street",Male,652,Sedang
215,Visa,Credit,18,"10-20","6638 Summit Lane",Male,716,Cukup Baik
216,Visa,Debit,60,"51-60","378 Fourth Boulevard",Female,687,Sedang
217,Visa,Credit,42,"41-50","272 Burns Boulevard",Male,744,Cukup Baik
218,Visa,Debit,59,"51-60","5238 Park Street",Female,810,Cukup Baik
219,Visa,Debit (Prepaid),47,"41-50","4541 Hill Boulevard",Male,798,Cukup Baik
220,Visa,Debit,33,"31-40","3550 Sixth Boulevard",Female,722,Cukup Baik
221,Amex,Credit,63,"61-70","560 Eighth Boulevard",Female,850,Cukup Baik
222,Amex,Credit,48,"41-50","9243 Oak Street",Female,714,Cukup Baik
223,Mastercard,Debit,37,"31-40","3748 Mountain View Drive",Female,803,Cukup Baik
224,Mastercard,Debit,20,"10-20","5789 Ninth Drive",Female,798,Cukup Baik
225,Mastercard,Debit,32,"31-40","69080 Spruce Street",Male,688,Sedang
226,Mastercard,Debit,30,"21-30","4262 Madison Drive",Male,724,Cukup Baik
227,Mastercard,Debit,48,"41-50","496 Hill Lane",Male,736,Cukup Baik
228,Mastercard,Debit,54,"51-60","2206 South Drive",Female,623,Sedang
229,Mastercard,Debit,35,"31-40","47428 First Boulevard",Female,725,Cukup Baik
230,Mastercard,Debit (Prepaid),39,"31-40","675 Fifth Avenue",Female,693,Sedang
231,Mastercard,Credit,55,"51-60","1442 Mill Avenue",Female,769,Cukup Baik
232,Mastercard,Debit,57,"51-60","186 First Drive",Female,786,Cukup Baik
233,Mastercard,Credit,37,"31-40","896 Rose Street",Female,716,Cukup Baik
234,Mastercard,Debit,42,"41-50","8027 Main Drive",Female,726,Cukup Baik
235,Mastercard,Debit,32,"31-40","7012 11th Lane",Female,721,Cukup Baik
236,Mastercard,Debit (Prepaid),36,"31-40","4137 Bayview Drive",Female,540,Buruk
237,Mastercard,Debit,42,"41-50","331 Oak Lane",Male,563,Buruk
238,Mastercard,Credit,22,"21-30","9261 Little Creek Lane",Male,675,Sedang
239,Mastercard,Debit,26,"21-30","2519 Park Boulevard",Male,682,Sedang
240,Mastercard,Debit,50,"41-50","280 Lake Avenue",Male,745,Cukup Baik
241,Mastercard,Debit,58,"51-60","6077 Sixth Avenue",Female,737,Cukup Baik
242,Visa,Credit,41,"41-50","6389 El Camino Drive",Male,850,Cukup Baik
243,Visa,Debit,20,"10-20","592 Hillside Drive",Male,666,Sedang
244,Visa,Debit,40,"31-40","8100 Hill Avenue",Female,638,Sedang
245,Visa,Debit,39,"31-40","3 Main Street",Female,528,Buruk
246,Visa,Debit (Prepaid),50,"41-50","671 West Drive",Female,791,Cukup Baik
247,Visa,Credit,49,"41-50","704 East Drive",Female,761,Cukup Baik
248,Visa,Credit,80,"71-80","80471 Eighth Street",Female,684,Sedang
249,Visa,Debit,42,"41-50","6777 First Drive",Female,618,Sedang
250,Visa,Debit,50,"41-50","61674 Elm Drive",Female,786,Cukup Baik
251,Visa,Debit,21,"21-30","72834 Grant Boulevard",Male,695,Sedang
252,Visa,Credit,67,"61-70","127 Grant Street",Male,723,Cukup Baik
253,Visa,Debit,61,"61-70","4110 Lafayette Boulevard",Male,664,Sedang
254,Visa,Debit,30,"21-30","323 Eighth Drive",Male,734,Cukup Baik
255,Visa,Debit (Prepaid),18,"10-20","8026 East Drive",Female,718,Cukup Baik
256,Visa,Debit,75,"71-80","863 Park Drive",Male,714,Cukup Baik
257,Visa,Debit,52,"51-60","858 Martin Luther King Drive",Male,708,Cukup Baik
258,Visa,Credit,51,"51-60","572 Mountain View Lane",Male,694,Sedang
259,Visa,Debit,71,"71-80","391 South Street",Female,689,Sedang
260,Visa,Debit,62,"61-70","142 Catherine Street",Male,699,Sedang
261,Visa,Debit,41,"41-50","7061 Littlewood Street",Male,737,Cukup Baik
262,Visa,Debit,18,"10-20","878 Summit Avenue",Male,734,Cukup Baik
263,Visa,Debit,30,"21-30","8687 Ninth Drive",Male,663,Sedang
264,Amex,Credit,49,"41-50","468 Park Lane",Male,696,Sedang
265,Discover,Credit,44,"41-50","68 Rose Boulevard",Female,713,Cukup Baik
266,Discover,Credit,19,"10-20","39 Park Lane",Female,724,Cukup Baik
267,Mastercard,Debit,61,"61-70","7360 Lexington Drive",Female,765,Cukup Baik
268,Mastercard,Credit,20,"10-20","825 Norfolk Drive",Female,582,Buruk
269,Mastercard,Debit (Prepaid),21,"21-30","537 Fourth Lane",Female,689,Sedang
270,Mastercard,Debit,30,"21-30","71682 Catherine Street",Male,655,Sedang
271,Mastercard,Debit (Prepaid),30,"21-30","352 Hill Lane",Female,685,Sedang
272,Mastercard,Debit,30,"21-30","387 Plum Avenue",Female,767,Cukup Baik
273,Mastercard,Debit,42,"41-50","849 Norfolk Lane",Female,665,Sedang
274,Mastercard,Debit,43,"41-50","4 North Street",Female,799,Cukup Baik
275,Mastercard,Debit,43,"41-50","973 River Street",Female,710,Cukup Baik
276,Mastercard,Debit (Prepaid),25,"21-30","9892 George Drive",Male,610,Sedang
277,Mastercard,Debit,46,"41-50","2292 South Street",Male,799,Cukup Baik
278,Mastercard,Debit,59,"51-60","910 Eighth Drive",Male,686,Sedang
279,Mastercard,Credit,25,"21-30","940 Plum Boulevard",Female,753,Cukup Baik
280,Mastercard,Debit,40,"31-40","3539 Lincoln Boulevard",Female,684,Sedang
281,Visa,Credit,24,"21-30","4779 Lafayette Avenue",Male,684,Sedang
282,Visa,Credit,42,"41-50","260 Spruce Avenue",Male,702,Cukup Baik
283,Visa,Debit,19,"10-20","74 Birch Avenue",Male,680,Sedang
284,Visa,Debit,51,"51-60","822 Martin Luther King Drive",Male,754,Cukup Baik
285,Visa,Credit,62,"61-70","702 Elm Drive",Male,731,Cukup Baik
286,Visa,Debit,38,"31-40","4232 Grant Drive",Male,725,Cukup Baik
287,Visa,Debit,42,"41-50","152 El Camino Boulevard",Female,710,Cukup Baik
288,Visa,Debit,45,"41-50","9891 Valley Drive",Female,789,Cukup Baik
289,Visa,Debit,22,"21-30","109 El Camino Avenue",Female,685,Sedang
290,Visa,Debit (Prepaid),27,"21-30","293 Wessex Street",Female,687,Sedang
291,Visa,Debit,64,"61-70","682 Federal Lane",Female,793,Cukup Baik
292,Visa,Debit,23,"21-30","871 Second Street",Female,717,Cukup Baik
293,Amex,Credit,32,"31-40","58221 Main Drive",Female,661,Sedang
294,Amex,Credit,36,"31-40","99 Mill Lane",Male,607,Sedang
295,Mastercard,Debit (Prepaid),53,"51-60","914 Spruce Drive",Male,681,Sedang
296,Mastercard,Credit,48,"41-50","9570 North Drive",Male,814,Cukup Baik
297,Mastercard,Debit,20,"10-20","354 Main Drive",Male,738,Cukup Baik
298,Mastercard,Debit,28,"21-30","437 Ocean View Drive",Male,686,Sedang
299,Mastercard,Debit,40,"31-40","196 Plum Lane",Male,622,Sedang
300,Mastercard,Debit,40,"31-40","69 Martin Luther King Street",Male,750,Cukup Baik
301,Visa,Credit,47,"41-50","6009 River Avenue",Male,679,Sedang
302,Visa,Debit,27,"21-30","9354 Lafayette Street",Female,706,Cukup Baik
303,Visa,Debit,94,"91+","93 Lafayette Boulevard",Male,690,Sedang
304,Visa,Credit,31,"31-40","6606 Sixth Drive",Male,685,Sedang
305,Visa,Credit,51,"51-60","9070 Third Boulevard",Male,755,Cukup Baik
306,Visa,Debit (Prepaid),18,"10-20","9850 Birch Drive",Male,725,Cukup Baik
307,Visa,Credit,18,"10-20","2846 Lake Avenue",Male,680,Sedang
308,Visa,Debit,44,"41-50","3675 Bayview Drive",Male,737,Cukup Baik
309,Amex,Credit,28,"21-30","2473 Lake Avenue",Male,819,Cukup Baik
310,Discover,Credit,26,"21-30","4840 Summit Lane",Male,666,Sedang
311,Mastercard,Debit,46,"41-50","8070 Mill Lane",Female,752,Cukup Baik
312,Mastercard,Debit,18,"10-20","4949 South Avenue",Female,767,Cukup Baik
313,Mastercard,Debit,32,"31-40","9384 Ocean Avenue",Female,693,Sedang
314,Mastercard,Debit,27,"21-30","1039 Bayview Drive",Male,557,Buruk
315,Mastercard,Credit,54,"51-60","112 Burns Lane",Male,692,Sedang
316,Mastercard,Debit,36,"31-40","995 Martin Luther King Street",Male,719,Cukup Baik
317,Mastercard,Debit,67,"61-70","816 El Camino Drive",Female,715,Cukup Baik
318,Visa,Credit,62,"61-70","75540 Valley Street",Male,724,Cukup Baik
319,Visa,Debit,67,"61-70","388 Third Avenue",Male,628,Sedang
320,Visa,Credit,34,"31-40","6444 Madison Drive",Male,625,Sedang
321,Visa,Debit,52,"51-60","262 First Lane",Male,698,Sedang
322,Visa,Credit,47,"41-50","708 George Street",Male,829,Cukup Baik
323,Visa,Debit,54,"51-60","782 Hill Lane",Male,683,Sedang
324,Visa,Credit,21,"21-30","5995 Valley Stream Avenue",Female,792,Cukup Baik
325,Visa,Credit,45,"41-50","7044 Plum Street",Male,709,Cukup Baik
326,Visa,Debit,18,"10-20","644 Birch Avenue",Male,652,Sedang
327,Amex,Credit,44,"41-50","7485 Seventh Street",Male,772,Cukup Baik
328,Mastercard,Credit,45,"41-50","4391 Lexington Lane",Male,700,Sedang
329,Mastercard,Credit,70,"61-70","6339 Lafayette Avenue",Male,701,Cukup Baik
330,Mastercard,Credit,36,"31-40","271 Sixth Drive",Male,711,Cukup Baik
331,Mastercard,Debit (Prepaid),34,"31-40","30 Catherine Street",Male,732,Cukup Baik
332,Mastercard,Credit,61,"61-70","8794 Catherine Lane",Male,703,Cukup Baik
333,Mastercard,Debit,20,"10-20","6877 Jefferson Drive",Female,706,Cukup Baik
334,Visa,Debit,44,"41-50","8349 Valley Avenue",Male,697,Sedang
335,Visa,Debit,46,"41-50","75 Birch Lane",Female,688,Sedang
336,Visa,Debit,23,"21-30","2545 Federal Drive",Male,760,Cukup Baik
337,Visa,Debit,20,"10-20","2539 Hill Street",Male,850,Cukup Baik
338,Visa,Debit,68,"61-70","222 Lafayette Lane",Female,686,Sedang
339,Visa,Debit,19,"10-20","640 Bayview Street",Female,843,Cukup Baik
340,Visa,Credit,20,"10-20","51 George Avenue",Male,809,Cukup Baik
341,Visa,Debit (Prepaid),50,"41-50","517 Eighth Drive",Male,734,Cukup Baik
342,Amex,Credit,18,"10-20","3033 Maple Lane",Male,699,Sedang
343,Amex,Credit,55,"51-60","919 Ocean View Lane",Female,764,Cukup Baik
344,Mastercard,Debit,18,"10-20","7193 George Boulevard",Male,577,Buruk
345,Mastercard,Debit,33,"31-40","67424 Tenth Boulevard",Male,724,Cukup Baik
